,cyclist_id,origin,destination
351,628,24919,23162
352,629,26962,12239
353,630,12384,17531
354,632,25782,15811
355,633,22276,26072
356,634,22826,26997
357,635,23473,26334
358,636,23208,19779
359,637,19779,28202
360,638,25735,24877
361,639,21608,22460
362,640,18885,25241
363,641,26997,22547
364,643,26329,25256
365,644,25257,26327
366,646,25207,25214
367,647,18573,17913
368,649,24609,19134
369,650,22276,24858
370,652,21968,29937
371,653,25459,25440
372,654,20713,16101
373,655,26360,24881
374,656,17534,25748
375,657,25778,28734
376,660,17219,12101
377,662,21696,18889
378,664,28737,23195
379,666,24073,26968
380,667,27062,21661
381,669,22238,18156
382,670,26050,25415
383,672,30166,28397
384,674,21034,26374
385,675,28736,30164
386,682,18562,16627
387,683,28141,25954
388,685,24882,30642
389,686,24609,21391
390,687,21965,20399
391,688,27245,19167
392,689,13031,11308
393,690,11048,13363
394,692,27250,26095
395,694,26037,20706
396,699,23474,27832
397,700,19779,27860
398,703,27569,23494
399,704,24875,27026
400,705,26976,21694
401,706,27862,22558
402,708,24881,24628
403,709,12243,26962
404,710,18159,22239
405,711,31231,27449
406,713,21358,26338
407,714,24357,26718
408,717,19168,25228
409,718,27450,25957
410,720,26025,16111
411,721,21439,30656
412,723,21894,21910
413,726,22239,25223
414,727,22582,25224
415,728,21694,21696
416,729,17933,25224
417,730,25193,30364
418,731,26295,29038
419,733,27832,26947
420,734,27231,25426
421,735,26969,23765
422,736,15623,24076
423,737,20701,21960
424,738,27225,27537
425,742,25741,20074
426,744,25768,23852
427,745,23853,29117
428,749,23542,23506
429,751,23175,16397
430,752,21398,22556
431,756,21375,30657
432,757,26064,19167
433,758,30656,26036
434,759,23198,23542
435,760,28826,22579
436,763,22558,18247
437,764,25782,15811
438,765,29036,25710
439,766,21685,21686
440,767,29409,28097
441,768,20730,19493
442,769,30067,25194
443,770,19492,20730
444,771,26536,28141
445,772,19152,23758
446,775,30373,24881
447,776,30373,29141
448,777,15177,13359
449,779,20723,28769
450,780,26085,26047
451,782,22281,12352
452,783,16985,25734
453,784,24628,25191
454,785,28177,27257
455,786,10731,11051
456,787,25509,22857
457,789,27801,19443
458,790,26668,20724
459,791,16984,26666
460,793,26092,27255
461,795,27044,29806
462,798,24539,16317
463,799,20399,27638
464,800,17852,31410
465,802,30656,26036
466,806,20422,27810
467,807,25967,23700
468,808,26715,21964
469,809,21690,23852
470,810,27012,28473
471,812,20726,18561
472,813,27012,24091
473,814,20417,26037
474,815,22235,20429
475,816,21964,25785
476,819,20101,28161
477,820,25239,22248
478,821,26232,27167
479,825,26362,24881
480,826,21025,24035
481,828,25953,20714
482,829,25712,28105
483,831,21606,21576
484,832,25239,25186
485,833,23543,23509
486,834,20057,23475
487,835,28105,25712
488,836,15370,16842
489,839,20734,19153
490,841,16022,22884
491,842,25220,25219
492,845,16603,16295
493,848,19141,18856
494,853,10823,18606
495,854,25728,24647
496,855,28447,20420
497,856,12355,21696
498,857,23752,22233
499,858,23700,25955
500,859,27809,19798
501,860,22977,25847
502,861,21952,20065
503,862,21657,22263
504,863,21036,21956
505,864,27538,18847
506,865,19456,27534
507,866,24881,30373
508,867,27250,25778
509,868,26044,23484
510,871,13970,16368
511,872,25712,24572
512,873,21952,20701
513,874,23225,24538
514,875,17579,20079
515,876,19773,25224
516,877,24313,28465
517,878,28101,29092
518,880,27206,16117
519,881,14619,12078
520,882,23853,21400
521,883,20731,27959
522,884,27222,19792
523,885,27541,23496
524,886,21606,24351
525,887,22887,24371
526,888,26717,23767
527,889,23767,26047
528,890,27226,26718
529,891,24313,26700
530,892,26669,12239
531,895,26037,24274
532,896,23472,26393
533,898,26370,25472
534,901,28825,31681
535,902,24351,21608
